date,value
2022-11-23,0.220857079954019
2022-11-24,0.2811656415016244
2022-11-25,0.23455778030594476
2022-11-26,0.1593778126618387
2022-11-27,0.15820710691726392
2022-11-28,0.2561056522869224
2022-11-29,0.2561056522869224
2022-11-30,0.34381561453837944
2022-12-01,0.2561056522869224
2022-12-02,0.23221636881679517
2022-12-03,0.220857079954019
2022-12-04,0.15820710691726392
2022-12-05,0.33128561993102845
2022-12-06,0.441714159908038
2022-12-07,0.40412417608598494
2022-12-08,0.26863564689427344
2022-12-09,0.2561056522869224
2022-12-10,0.20598567385751834
2022-12-11,0.15820710691726392
2022-12-12,0.19462638499474214
2022-12-13,0.23221636881679517
2022-12-14,0.19696779648389176
2022-12-15,0.18209639038739114
2022-12-16,0.245917069168721
2022-12-17,0.1593778126618387
